
Modulo: 01 (Inizio:    0.0000, Fine:  240.0000)
   L:07 F:  71.350 (ACG: +0.40, -0.10), at:  60.0008 d: 296.9975 fine: 356.9983
   L:08 F:  73.450 (ACI: +0.40, -0.50), at:  52.1210 d: 280.1369 fine: 332.2579
   L:09 F:  75.600 (ACM: +0.40, -0.90), at:  42.8404 d: 267.4787 fine: 310.3191
   L:10 F:  77.820 (ADF: +0.60, +1.00), at:  32.3609 d: 258.4173 fine: 290.7782
   L:11 F:  80.100 (ADH: +0.60, -0.30), at:  20.2507 d: 254.2479 fine: 274.4986
   L:12 F:  82.450 (ADL: +0.60, -0.70), at:   8.3815 d: 249.3556 fine: 257.7371
   L:13 F:  84.870 (AEF: +0.80, +1.00), at:  -4.3790 d: 247.1370 fine: 242.7580

Modulo: 14b (Inizio:    0.0000, Fine:  720.0000)
   L:01 F:4716.480 (AIM: -0.05, -0.09), at:  14.6250 d: 720.0000 fine: 734.6250
   L:02 F:4584.330 (AHM: -0.03, -0.09), at:  48.7500 d: 573.7500 fine: 622.5000
   L:03 F:4453.750 (AHI: -0.03, -0.05), at:  66.3259 d: 477.1473 fine: 543.4732
   L:04 F:4326.890 (AGL: -0.01, -0.07), at:  76.5002 d: 402.7495 fine: 479.2496
   L:05 F:4203.640 (AGH: -0.01, -0.03), at:  77.4752 d: 355.9494 fine: 433.4246
   L:06 F:4083.900 (AFL: +0.10, -0.07), at:  75.0011 d: 319.4966 fine: 394.4978
   L:07 F:3967.570 (AFH: +0.10, -0.03), at:  67.8758 d: 296.9975 fine: 364.8733
   L:08 F:3854.550 (AEM: +0.08, -0.09), at:  58.8710 d: 280.1369 fine: 339.0079
   L:09 F:3744.750 (AEI: +0.08, -0.05), at:  48.4654 d: 267.4787 fine: 315.9441
   L:10 F:3638.090 (AEG: +0.08, -0.01), at:  36.8609 d: 258.4173 fine: 295.2782
   L:11 F:3534.460 (ADM: +0.06, -0.09), at:  23.6257 d: 254.2479 fine: 277.8736
   L:12 F:3433.780 (ADI: +0.06, -0.05), at:  10.6315 d: 249.3556 fine: 259.9871
   L:13 F:3335.970 (ADG: +0.06, -0.01), at:  -3.2540 d: 247.1370 fine: 243.8830
